Front,Back,Tags
"What command installs Ansible on RHEL 9?","sudo dnf install ansible-core","ansible_basics"
"How do you verify Ansible installation and version?","ansible --version","ansible_basics"
"What file contains the main Ansible configuration?","/etc/ansible/ansible.cfg or ~/.ansible.cfg","ansible_basics"
"How do you test connectivity to all hosts in inventory?","ansible all -m ping","ansible_basics"
"What command shows all available Ansible modules?","ansible-doc -l","ansible_basics"
"How do you get help for a specific Ansible module?","ansible-doc module_name","ansible_basics"
"What is the default inventory file location?","/etc/ansible/hosts","ansible_basics"
"How do you specify a custom inventory file?","ansible -i inventory_file","ansible_basics"
"What command lists all hosts in inventory?","ansible-inventory --list","ansible_basics"
"How do you run an ad-hoc command on specific hosts?","ansible group_name -m module_name -a 'arguments'","ansible_basics"
"What is the basic structure of a playbook?","---\n- hosts: target\n  tasks:\n  - name: task description\n    module_name: parameters","playbooks"
"How do you check playbook syntax without running it?","ansible-playbook playbook.yml --syntax-check","playbooks"
"What command performs a dry-run of a playbook?","ansible-playbook playbook.yml --check","playbooks"
"How do you run a playbook with verbose output?","ansible-playbook playbook.yml -v (or -vv, -vvv)","playbooks"
"What section defines variables in a playbook?","vars: section or vars_files:","playbooks"
"How do you define handlers in a playbook?","handlers:\n- name: handler name\n  module: parameters","playbooks"
"What triggers a handler in Ansible?","notify: handler_name in a task","playbooks"
"How do you limit playbook execution to specific hosts?","ansible-playbook playbook.yml --limit hostname","playbooks"
"What command shows available tags in a playbook?","ansible-playbook playbook.yml --list-tags","playbooks"
"How do you run only specific tags in a playbook?","ansible-playbook playbook.yml --tags tag_name","playbooks"
"How do you define a variable in a playbook?","vars:\n  variable_name: value","variables"
"What is the precedence order for variables (highest to lowest)?","1. Extra vars (-e)\n2. Task vars\n3. Block vars\n4. Role/play vars\n5. Host facts\n6. Host vars\n7. Group vars","variables"
"How do you access a variable in a task?","{{ variable_name }}","variables"
"How do you gather facts from hosts?","ansible hostname -m setup","variables"
"What variable contains the hostname of the current host?","{{ inventory_hostname }}","variables"
"How do you access group variables?","group_vars/group_name.yml or {{ hostvars['hostname']['variable'] }}","variables"
"What variable contains all facts about a host?","{{ hostvars['hostname'] }}","variables"
"How do you register task output as a variable?","register: variable_name","variables"
"How do you access registered variable output?","{{ variable_name.stdout }}","variables"
"What magic variable contains facts about all hosts?","{{ hostvars }}","variables"
"How do you define a conditional task?","when: condition","task_control"
"How do you loop over a list in a task?","loop:\n- item1\n- item2\nOr with_items: ['item1', 'item2']","task_control"
"How do you access the current loop item?","{{ item }}","task_control"
"What module handles errors and continues execution?","block/rescue/always structure","task_control"
"How do you ignore errors in a task?","ignore_errors: yes","task_control"
"How do you fail a playbook on specific conditions?","fail:\n  msg: 'Error message'\n  when: condition","task_control"
"What directive runs a task only once across all hosts?","run_once: true","task_control"
"How do you delegate a task to another host?","delegate_to: hostname","task_control"
"How do you pause playbook execution?","pause:\n  seconds: 30\nOr pause:\n  prompt: 'Press enter to continue'","task_control"
"How do you include another playbook?","include: other_playbook.yml","task_control"
"What module is used for templating files?","template","templates"
"What templating engine does Ansible use?","Jinja2","templates"
"How do you use a variable in a template?","{{ variable_name }}","templates"
"How do you use conditionals in a template?","{% if condition %}\ncontent\n{% endif %}","templates"
"How do you loop in a template?","{% for item in list %}\n{{ item }}\n{% endfor %}","templates"
"What parameter backs up the original file when templating?","backup: yes","templates"
"How do you set file permissions in template module?","mode: '0644' (or mode: 0644)","templates"
"How do you validate a template before deployment?","validate: 'command %s' (where %s is the temp file)","templates"
"What filter converts a string to lowercase in templates?","{{ variable_name | lower }}","templates"
"How do you join list items in a template?","{{ list_name | join(',') }}","templates"
"What command creates a new role structure?","ansible-galaxy init role_name","roles"
"What are the standard directories in a role?","tasks/, handlers/, vars/, defaults/, files/, templates/, meta/","roles"
"What file defines role dependencies?","meta/main.yml","roles"
"How do you use a role in a playbook?","roles:\n- role_name","roles"
"Where do you put default variables for a role?","defaults/main.yml","roles"
"Where do you put role-specific variables?","vars/main.yml","roles"
"What file contains the main tasks for a role?","tasks/main.yml","roles"
"How do you install roles from Ansible Galaxy?","ansible-galaxy install author.role_name","roles"
"Where are Galaxy roles installed by default?","~/.ansible/roles/","roles"
"How do you list installed Galaxy roles?","ansible-galaxy list","roles"
